N,cap,sol_val,op,method
8,8,1721,111,bottom-up
8,8,1721,93,top-down
8,8,1721,108,backtracking
8,8,1721,19,greedy
8,8,1721,164,brute-force
8,8,1721,2052,exhaustive-search
8,10,1287,134,bottom-up
8,10,1287,83,top-down
8,10,1287,67,backtracking
8,10,1287,21,greedy
8,10,1287,136,brute-force
8,10,1287,2056,exhaustive-search
8,12,2099,165,bottom-up
8,12,2099,115,top-down
8,12,2099,122,backtracking
8,12,2099,16,greedy
8,12,2099,227,brute-force
8,12,2099,2059,exhaustive-search
8,14,1313,157,bottom-up
8,14,1313,60,top-down
8,14,1313,54,backtracking
8,14,1313,24,greedy
8,14,1313,71,brute-force
8,14,1313,2051,exhaustive-search
8,16,2017,202,bottom-up
8,16,2017,140,top-down
8,16,2017,76,backtracking
8,16,1789,18,greedy
8,16,2017,165,brute-force
8,16,2017,2059,exhaustive-search
8,18,953,218,bottom-up
8,18,953,100,top-down
8,18,953,97,backtracking
8,18,953,27,greedy
8,18,953,133,brute-force
8,18,953,2052,exhaustive-search
8,20,2571,281,bottom-up
8,20,2571,206,top-down
8,20,2571,83,backtracking
8,20,2571,29,greedy
8,20,2571,349,brute-force
8,20,2571,2061,exhaustive-search
8,22,1892,264,bottom-up
8,22,1892,85,top-down
8,22,1892,67,backtracking
8,22,1892,28,greedy
8,22,1892,110,brute-force
8,22,1892,2054,exhaustive-search
8,24,2444,304,bottom-up
8,24,2444,127,top-down
8,24,2444,96,backtracking
8,24,2209,24,greedy
8,24,2444,161,brute-force
8,24,2444,2052,exhaustive-search
8,26,2918,346,bottom-up
8,26,2918,191,top-down
8,26,2918,85,backtracking
8,26,2918,28,greedy
8,26,2918,259,brute-force
8,26,2918,2056,exhaustive-search
8,28,2427,372,bottom-up
8,28,2427,158,top-down
8,28,2427,78,backtracking
8,28,2427,20,greedy
8,28,2427,229,brute-force
8,28,2427,2059,exhaustive-search
8,30,1888,357,bottom-up
8,30,1888,90,top-down
8,30,1888,74,backtracking
8,30,1888,15,greedy
8,30,1888,128,brute-force
8,30,1888,2057,exhaustive-search
8,32,3007,436,bottom-up
8,32,3007,183,top-down
8,32,3007,128,backtracking
8,32,2789,27,greedy
8,32,3007,321,brute-force
8,32,3007,2057,exhaustive-search
10,8,3014,150,bottom-up
10,8,3014,166,top-down
10,8,3014,186,backtracking
10,8,3014,42,greedy
10,8,3014,676,brute-force
10,8,3014,10251,exhaustive-search
10,10,2519,172,bottom-up
10,10,2519,179,top-down
10,10,2519,164,backtracking
10,10,2519,31,greedy
10,10,2519,440,brute-force
10,10,2519,10255,exhaustive-search
10,12,2178,192,bottom-up
10,12,2178,127,top-down
10,12,2178,162,backtracking
10,12,2178,35,greedy
10,12,2178,231,brute-force
10,12,2178,10248,exhaustive-search
10,14,2388,240,bottom-up
10,14,2388,190,top-down
10,14,2388,116,backtracking
10,14,2388,38,greedy
10,14,2388,456,brute-force
10,14,2388,10256,exhaustive-search
10,16,1138,257,bottom-up
10,16,1138,153,top-down
10,16,1138,140,backtracking
10,16,1138,34,greedy
10,16,1138,300,brute-force
10,16,1138,10246,exhaustive-search
10,18,2265,284,bottom-up
10,18,2265,197,top-down
10,18,2265,143,backtracking
10,18,2265,40,greedy
10,18,2265,257,brute-force
10,18,2265,10249,exhaustive-search
10,20,2969,340,bottom-up
10,20,2969,280,top-down
10,20,2969,145,backtracking
10,20,2969,43,greedy
10,20,2969,487,brute-force
10,20,2969,10254,exhaustive-search
10,22,2270,352,bottom-up
10,22,2270,254,top-down
10,22,2270,149,backtracking
10,22,2270,28,greedy
10,22,2270,345,brute-force
10,22,2270,10251,exhaustive-search
10,24,2615,406,bottom-up
10,24,2615,311,top-down
10,24,2615,309,backtracking
10,24,2615,30,greedy
10,24,2615,581,brute-force
10,24,2615,10247,exhaustive-search
10,26,2422,386,bottom-up
10,26,2422,151,top-down
10,26,2422,109,backtracking
10,26,2422,39,greedy
10,26,2422,199,brute-force
10,26,2422,10249,exhaustive-search
10,28,3308,444,bottom-up
10,28,3308,194,top-down
10,28,3308,101,backtracking
10,28,3126,30,greedy
10,28,3308,305,brute-force
10,28,3308,10248,exhaustive-search
10,30,2265,467,bottom-up
10,30,2265,202,top-down
10,30,2265,87,backtracking
10,30,2265,39,greedy
10,30,2265,293,brute-force
10,30,2265,10251,exhaustive-search
10,32,1695,505,bottom-up
10,32,1695,231,top-down
10,32,1695,139,backtracking
10,32,1596,36,greedy
10,32,1695,310,brute-force
10,32,1695,10249,exhaustive-search
12,8,3414,170,bottom-up
12,8,3414,250,top-down
12,8,3414,322,backtracking
12,8,3414,52,greedy
12,8,3414,879,brute-force
12,8,3414,49170,exhaustive-search
12,10,1989,193,bottom-up
12,10,1989,237,top-down
12,10,1989,225,backtracking
12,10,1989,44,greedy
12,10,1989,304,brute-force
12,10,1989,49158,exhaustive-search
12,12,3596,260,bottom-up
12,12,3596,290,top-down
12,12,3596,341,backtracking
12,12,3596,55,greedy
12,12,3596,1446,brute-force
12,12,3596,49170,exhaustive-search
12,14,1769,261,bottom-up
12,14,1769,217,top-down
12,14,1769,162,backtracking
12,14,1769,53,greedy
